type,interval_seconds
all_interactions,1.946
all_interactions,6.293
all_interactions,5.76
all_interactions,25.467
all_interactions,1.387
all_interactions,4.204
all_interactions,1.813
all_interactions,2.868
all_interactions,2.435
all_interactions,0.738
all_interactions,3.786
all_interactions,0.701
all_interactions,0.854
all_interactions,0.15
all_interactions,1.603
all_interactions,1.532
all_interactions,10.345
all_interactions,11.778
all_interactions,0.516
all_interactions,0.691
all_interactions,26.949
all_interactions,10.264
all_interactions,3.54
all_interactions,10.566
all_interactions,1.161
all_interactions,1.953
all_interactions,4.258
all_interactions,2.549
all_interactions,0.823
all_interactions,1.431
all_interactions,1.302
all_interactions,18.172
all_interactions,3.593
all_interactions,7.782
all_interactions,31.405
all_interactions,0.863
all_interactions,1.344
all_interactions,0.635
all_interactions,0.291
all_interactions,4.064
all_interactions,2.912
all_interactions,1.572
all_interactions,1.284
all_interactions,0.562
all_interactions,0.582
all_interactions,0.667
all_interactions,1.637
all_interactions,16.104
all_interactions,0.433
all_interactions,0.498
all_interactions,0.718
all_interactions,33.647
all_interactions,1.904
all_interactions,1.948
all_interactions,12.837
all_interactions,31.06
all_interactions,44.809
all_interactions,15.772
all_interactions,29.745
all_interactions,3.197
all_interactions,1.026
all_interactions,1.082
all_interactions,1.617
all_interactions,1.534
all_interactions,0.499
all_interactions,0.967
all_interactions,1.084
all_interactions,16.024
all_interactions,2.725
all_interactions,1.303
all_interactions,5.062
all_interactions,2.633
all_interactions,4.263
all_interactions,1.172
all_interactions,30.895
all_interactions,1.487
all_interactions,1.677
all_interactions,1.013
all_interactions,3.249
all_interactions,1.177
all_interactions,2.051
all_interactions,6.906
all_interactions,10.175
all_interactions,1.697
all_interactions,9.221
all_interactions,0.245
all_interactions,15.812
all_interactions,2.618
all_interactions,1.468
all_interactions,1.375
all_interactions,4.485
all_interactions,3.922
all_interactions,2.198
all_interactions,9.579
all_interactions,9.238
all_interactions,3.386
all_interactions,7.4
all_interactions,5.767
all_interactions,0.795
all_interactions,0.705
all_interactions,0.445
all_interactions,0.56
all_interactions,10.345
all_interactions,1.216
all_interactions,7.5
all_interactions,32.93
all_interactions,40.075
all_interactions,11.231
all_interactions,8.664
all_interactions,2.154
all_interactions,2.726
all_interactions,3.591
all_interactions,0.524
all_interactions,2.362
all_interactions,0.457
all_interactions,0.65
all_interactions,1.172
all_interactions,21.808
all_interactions,4.996
all_interactions,5.6
all_interactions,6.921
all_interactions,2.071
all_interactions,1.145
all_interactions,1.418
all_interactions,27.873
all_interactions,1.543
all_interactions,3.082
all_interactions,1.345
all_interactions,18.096
all_interactions,3.091
all_interactions,2.0
all_interactions,23.554
all_interactions,1.357
all_interactions,18.306
all_interactions,3.849
all_interactions,3.69
all_interactions,1.098
all_interactions,5.969
all_interactions,12.745
all_interactions,0.549
all_interactions,1.743
all_interactions,1.259
all_interactions,0.637
all_interactions,10.073
all_interactions,3.959
all_interactions,5.13
all_interactions,0.699
all_interactions,0.663
all_interactions,0.223
all_interactions,2.132
all_interactions,3.736
all_interactions,0.65
all_interactions,2.511
all_interactions,32.589
all_interactions,4.993
all_interactions,5.899
all_interactions,11.363
all_interactions,4.822
all_interactions,0.815
all_interactions,3.952
all_interactions,10.822
all_interactions,9.51
all_interactions,3.271
all_interactions,1.994
all_interactions,1.696
all_interactions,0.996
